hostname,dangling_target,issue_class,severity,bank,verified
apollo-content.axis.bank.in,d13dwtmxjp7qqk.cloudfront.net,CloudFront dangling CNAME (alias attach requires domain validation; not claimable),LOW,Axis Bank Ltd,26 August 2026
devneo.axis.bank.in,ad81a19ad1c875ade.awsglobalaccelerator.com,AWS Global Accelerator orphaned static IP set (random ID; unclaimable by design),LOW,Axis Bank Ltd,26 August 2026
devneopay.axis.bank.in,a98a41db71f1fff3a.awsglobalaccelerator.com,AWS Global Accelerator orphaned static IP set (random ID; unclaimable by design),LOW,Axis Bank Ltd,26 August 2026
juno-content.axis.bank.in,d1ovscizflyfb3.cloudfront.net,CloudFront dangling CNAME (alias attach requires domain validation; not claimable),LOW,Axis Bank Ltd,26 August 2026
mercury-content.axis.bank.in,d15i12s32m5q24.cloudfront.net,CloudFront dangling CNAME (alias attach requires domain validation; not claimable),LOW,Axis Bank Ltd,26 August 2026
neo.axis.bank.in,a85426234ca3c91e3.awsglobalaccelerator.com,AWS Global Accelerator orphaned static IP set (random ID; unclaimable by design),LOW,Axis Bank Ltd,26 August 2026
neocldweb.axis.bank.in,d1r0faotr5jcix.cloudfront.net,CloudFront dangling CNAME (alias attach requires domain validation; not claimable),LOW,Axis Bank Ltd,26 August 2026
neopay.axis.bank.in,ad2630be5e827fd7e.awsglobalaccelerator.com,AWS Global Accelerator orphaned static IP set (random ID; unclaimable by design),LOW,Axis Bank Ltd,26 August 2026
neocldapp.axis.bank.in,d1feaw0wpl3snc.cloudfront.net,CloudFront dangling CNAME (alias attach requires domain validation; not claimable),LOW,Axis Bank Ltd,26 August 2026
nucleus-content.axis.bank.in,d26jekaep9z3yg.cloudfront.net,CloudFront dangling CNAME (alias attach requires domain validation; not claimable),LOW,Axis Bank Ltd,26 August 2026
oniuat.axis.bank.in,a841df261f5f29b0b.awsglobalaccelerator.com,AWS Global Accelerator orphaned static IP set (random ID; unclaimable by design),LOW,Axis Bank Ltd,26 August 2026
qaneopay.axis.bank.in,adfc74bab6e1091a2.awsglobalaccelerator.com,AWS Global Accelerator orphaned static IP set (random ID; unclaimable by design),LOW,Axis Bank Ltd,26 August 2026
qaneo.axis.bank.in,a2875293e8ce78399.awsglobalaccelerator.com,AWS Global Accelerator orphaned static IP set (random ID; unclaimable by design),LOW,Axis Bank Ltd,26 August 2026
sitvelocitypay.axis.bank.in,aa4da80d046aa7135.awsglobalaccelerator.com,AWS Global Accelerator orphaned static IP set (random ID; unclaimable by design),LOW,Axis Bank Ltd,26 August 2026
sitvelocity.axis.bank.in,a1c8f5525d2030f8e.awsglobalaccelerator.com,AWS Global Accelerator orphaned static IP set (random ID; unclaimable by design),LOW,Axis Bank Ltd,26 August 2026
supernova-content.axis.bank.in,d2bf6tjmdy10dn.cloudfront.net,CloudFront dangling CNAME (alias attach requires domain validation; not claimable),LOW,Axis Bank Ltd,26 August 2026
uatembsaas.axis.bank.in,af924497213569bd2.awsglobalaccelerator.com,AWS Global Accelerator orphaned static IP set (random ID; unclaimable by design),LOW,Axis Bank Ltd,26 August 2026
uatembsaaspay.axis.bank.in,a46a81487ad9e3583.awsglobalaccelerator.com,AWS Global Accelerator orphaned static IP set (random ID; unclaimable by design),LOW,Axis Bank Ltd,26 August 2026
